text,happy,
egh blah and boooooooooooo i dunno wanna go to work  HANGOVERS SUCKKKKKK Im a drunk mess!,0,
:visiting my friendster and facebook,0,
"i donbt like to peel prawns, i also dont like going shopping, running out of money and crawling round the car looking for more",0,
 which case? I got a new one last week and I`m not thrilled at all with mine.,0,
 Then you should check out http://twittersucks.com and connect with other tweeple who hate twitter,0,
" also bored at school, its my third freelesson( freistunde )",0,
 hm... Both of us I guess...,0,
 it is ****...u have dissappointed me that past few days,0,
 romance zero is funny,1,
 I`d rather do the early run..but I am a morning runner,0,
Bah a coworker ran into work late and her bag smacked into my knee  it really hurts now,0,
will be back later.  http://plurk.com/p/rp3k7,0,
Aw. Torn ace of hearts  #Hunchback,0,
 what fun are you speaking of?,0,
"i lost all my friends, i`m alone and sleepy..i wanna go home",0,
 haha yes,0,
I give in to easily,0,
What better way to spoil mum than to let her kick back and relax over a nice meal and a bottle of her favorite wine? Our wine was a red,1,
mannnn..... _ got an iphone!!! im jealous....  http://bit.ly/NgnaR,0,
Is at a photoshoot.,0,
  He`s awesome... Have you worked with him before? He`s a good friend.,1,
Yay playing a show tonight! Boo it`s gonna soggy and I`m at work right before playing,0,
Chilliin,1,
" If you know such agent, do let me know",0,
I still smell of smoke  #kitchenfire,0,
 a celtics-lakers rematch sounds better don`t you think? lol,1,
"Anyone have an extra Keane ticket? I promise to buy you a drink and take rad pics for your FB / Blog / Flickr., etc",0,
"'you can ride one, you can catch one, but its not summer til you pop open one'  ?",0,
 she is good! so gor-juz yea i kno i asked her yesterday when we were at tha hospital if she talked to u and she said no,0,
OK - I`m out of here for now. Just popped in to say Hi and check on things. I`ll probably head to the guttah later on tonight,0,
"WOW, i AM REALLY MiSSiN THE FAM(iLY) TODAY. BADDD.",0,
 My sources say no,0,
I am sooo tired,0,
" Hey, you change your twitter account, and you didn`t even tell me...",0,
 THANK YYYYYYYYYOOOOOOOOOOUUUUU!,1,
 lucky kid...i so wanna see loserville  pity im in oz....,1,
fell asleep waiting for my ride!,0,
Sick. With a flu like thing.,0,
"Still no reply from  about my SimFinger problem  So no iRape parody video until I get a response, sorry guys",0,
Happy Star Wars day everyone! and Enjoy the holiday (UK),1,
 Miles from you   I`m in Essex so give me plenty of warning so I can arrive in time to get at least one of those free beers.,0,
"His snoring is so annoying n it keeps me from sleeping (like right now, lol) but I honestly wud miss it if it eva left  I love him.",0,
i miss you bby      wish you were going tomorrow to make me do good.,0,
 Well what im working on isn`t QUITE ready to post about publicly (still beta testing) but its a cool new script I coded,1,
 SWEEEEET - San Fran is awesome!!!!  Love it there,1,
_Mounce yes and it lasts way past my bedtime!,0,
 Hi  how are you doing ???  *just joined twitter...*,0,
waiting for sleeping pills to kick in... gonna be so tired at work tomorrow,0,
eating ice cream and then getting ready for graduation.,0,
Happy Mothers day to all you Mums out there,1,
" CASEY`S GONE?!?! BUT WHY?! So, she piddled a little on the carpet. She`s prolly freaked cause it`s new. Can we get her back?",0,
 hemp cloth is marvelous but unfortunately no,0,
Gonna read a story bout adam lambert online then bed. Nighty night,0,
 We saw that in none 3D - the baddie`s the best,1,
4am. And Im on the beach. Pretty,1,
" Certainly not Cheers than, huh?",0,
"1 week post my'horrible, traumatic jumping cholla accident.'-cholla`s next dirty trick:pieces are starting to emerge from my hand! Ouch!",0,
i realy wanted to go out cause its so nice but everybodys busy,0,
 Awesome.  I`m down in Ocean Beach (if you know where that is.) By the way. 'YourBiggestFan' I`m a re-al big fan of you-rs.,1,
at least I get to watch over time  Let`s go Pens!!,0,
 cool i wear black most of the time when i go out,0,
 haha I do not know how to work blip apart from the obvious! thanks for reblipping my song  have a nice day ****,1,
 have a safe trip joshy poo.......you`ll knock them dead at your speech,1,
" woof, I wish I was allowed to go",1,
if u have a friendster add me!!!!!!!!!        my email adress      add me  loco_crime_1st.com        add me leave some comment,0,
  has tickets.......?,0,
"Thank you, Afrin Nasal Spray! Also, I got a giant teacup tonight!",1,
 ACSM. it`s unfathomable.  i think the other one .. and the .. is one that should be kept to the comfort of our bedrooms. yes?,0,
"Aww, I love my daddy! He works 7 days a week almost all day and still tries to go to SF with all of us",1,
So many tests todayyy  I don`t feel confident about anyy.,0,
graduation is done  im a little sad.. anyone want to hang out???,0,
 hahaa your awesomee !,1,
holy smokes! star trek was freaking awesomeeeee,1,
"I hate Fallout 3 it keeps making me jump, I`m also low on health, money, ammo and food  don`t worry I`ll get through it.",0,
" I had it! On my itunes, but then I lost all my songs.",0,
What`s with the gloomy weather? The sun must be too tired to come out and play  heading to victoria gardens for some impulse buys haha,0,
"Not looking forward to next week: Maths, Geography, English and French exams, totalling 7 hours",0,
" Poor you  Get outside and sleep in the garden, the sun will do you good. But don`t forget suncream!!!",0,
not well,0,
 Not a prob hun,1,
"at dads, watching some mtv and am going on sims2 in a minutee",0,
 Absolutely,0,
 what`s the matter chickadee?,0,
 hey mia!  totally adore your music.  when will your cd be out?,1,
"Shopping. Cleaning. BMFing. Webcam chatting with nephews. Nothing spesh, but a good bank holiday Monday nonetheless",1,
 =O you need to ask him something? Lmao I love him too,1,
 those splinters look very painful...but you were being very heroic saving mr. Pickle,0,
 why are you sad?,0,
 Nice to see you tweeting!  It`s Sunday 10th May and we`re celebrating Mother`s Day here today. So be nice to yer Mom,1,
decided 2 trans frm relaxed 2 natural hair but i wish my whole head looked like my roots.  Age of the instant gratification....,1,
 Namaskar & Namaste r both the same. Marathi people say Namaskar! its a marathi word.... should i ? ...naaaah !,0,
" Congrats!  I cuss like that in a matter of minutes, But didn`t know until now there is a reward for it.",0,
Humous and Dorito`s.... Oh yes,0,
"missed all the awesome weather, because she was in a movie!",0,
Today is going to be a normal day for I hope. We had a group of pilots from a large airline come in last night so it was too much drink,0,
"These kids are terrible! If I was in Good Evans, I`d call Childline",0,
"Unfortunatley, AerLingus no longer fly to Copenhagen so we`re have to fly Ryanair to Billund and drive up to Copenhagen one of the days!",0,
" What`s sad is that I actually had to google that term. That sucks, tho.",0,
Hate fighting,0,
" I watched that too!!! I didnt want her to win, but she put up a good fight..lol",0,
Car-warmed Sprite tastes like sore throat,0,
Just came 11th in cross country and beat dumbo,0,
Candle wax is very enjoyable.,1,
" She`s unassuming and unpretentious. She`s just, as. I suppose that`s why she`s so endearing--because we can relate to her",1,
tomorrow valeria`s lunch!!! going to get my hair done but im arraving late   got my cousins babtizm or whatever you spell it,0,
goooooddd morning tweets!!  week three OF my workout. did i mention i got my new glasses yesterday?!?,1,
 me too. I hate my computer so much..,0,
 fine! Going to do my big walk today 20 or so miles,1,
I WANT RED CRUISERS!!  i don`t like the other ones. LMFAO!,0,
Mmmmmmmm... ? it in the morning,0,
 me neither,0,
"Has about 10 hours work to do, on a Sunday. Boo. I will find time for a two hour lunchbreak though. Yeah",0,
Bugger. forgot I still have washing in my machine,0,
"_Laurie sending love, blessings & healing thoughts to you & family  peace",1,
My back hurts...really bad,0,
" ah yes, I know that feeling",0,
Night of the cookers with my dad,0,
My modem has been offline for a week now... God bless the 3g network. Tim just left... Again!! May schedule has been brutal,0,
 Nope I am in Coquitlam,0,
 Had parent teacher thing yesterday!! So boring going to skl on saturday!!  lol,0,
  #lichfield #tweetup sounds like fun  Hope to see you and everyone else there!,1,
Big booming thunder storm almost here.  Maybe we can all go home early???  Ah... probably not.,0,
Few Bevvies 2day in twn..great on a day off!!,1,
first night in myers. just not the same w/out lydia!  but i`m actually excited about this summer!,1,
 good morning,1,
 its the best show EVER!,1,
URL in previous post (to timer job) should be http://bit.ly/a4Fdb. I`d removed space which messed up URL.  ^ES,0,
i think iv hurt my tooth  and eilish and cassie are having a drawing competiton to draw cookies and pineapples haha :L .,0,
 I want to know when the auditions are Mander! Text or...reply please!,0,
or even NOOOOO NOT THE SECRET NAMEREBECCA PLEASE,0,
 I miss my neice  can`t wait to see her bad n grown ****! Lol,0,
i need to get my computer fixed,0,
really hopes her car`s illness is not terminal...,0,
"All the cool people I want to find for following today are #English, and I guess the English don`t tweet.",0,
 no sir...i woulda put honey...but i don`t have any,0,
who watched X-men origins: wolverine? i totally loved it! haha,1,
 I VOTED!!! do u have a personal myspace? i keep talking to fakes   i <3 you. u helped me thru the hrdest time of my life! (: x,1,
 I`m sad that I missed you guys last night!,0,
Finally got a call for marriage counseling 3 days late....,0,
 ok then,0,
_420 why baby?,0,
today was the last day of high school for me and i ended up going home sick! ... stupid dead rats,0,
We`re having an impromptu pool party... Except I don`t know how to swim so I can`t get in,0,
lost my tooth 2day whilst i was eating gum...oww,0,
happy 1 year! <3,1,
"Oh, I HELLA forgot to say my official good morning  Like to hear it? Here it go! Goooooooooooood Morrrrrrrrning Twitterville! Lol",1,
 *phew*  Will make a note in case anyone else runs into the same issueï¿½,0,
  WHAT ABOUT ME ??  I VOTE EVERY DAY FOR YOU !!!!!,0,
I`m starving!! This diet is killing me but I can`t eat after 8pm,0,
 i talk to you,0,
im soo bored...im deffo missing my music channels,0,
 nite nite bday girl  have fun at concert,1,
"Had nicotine replacement patch on for 4 hours. So far, so good, but I did sleep for most of those 4 hours. Getting a bit twitchy now",0,
_Sanderson What`s with Twatter lately?  Either I can`t get on or the replies don`t turn up!,0,
should be sleeping.  lost my voice a couple day ago.,0,
http://twitpic.com/66xlm -  hate when my PARKED car gets hit,0,
 I`ve heard this fall. I`m waiting too!,0,
 more nightmares?  *huggles*,0,
I AM SUCH A CREEPER  I feel disappointed because of it. **** my cyberstalking skills   the internet = no more privacy.,0,
going to bed its late and I have headache,0,
happy mother`s day to all moms out there...,1,
Grabbing coffee from  then making mom breakfast,0,
im thinking that im going to have fun tonight....and maybe some changes are coming,1,
 thanks. before the major chop.,0,
" Haha I know, I cant handle the fame!  and thank you!",1,
just got up and updated my ipod,0,
 yes! sober HAHAHA tanghaling tapat dude! haha WILD. i don`t knowwww  plan plan  before you go to US!,1,
 We never miss ICarly - my son has a huge crush on Miranda,1,
Saw James carville in the store today. His head is really that bald,0,
yellow for   ? http://blip.fm/~5z05g,0,
 which means you`re just going to have to come back to vancouver and have it our way! hahah,0,
Feeling smooth like chrome,1,
Ew traffic,0,
"downloading songs while trying to sneak a lil homework in too, which should be my main priority not songs lol",0,
@_Ra_Ra_ your not alone...i need coffee too.,0,
 Sounds like me,0,
Bad day  The day you realize what mess you`ve put me through will be one of the happiest days of my life...,0,
Walking to class. I hate not having a bike....especially mine.,0,
_nesmith,0,
"failed inspection. Did you know you can pass wo/oven, but not wo/anti-tip bracket, which is only sold w/oven? This is worse than taxes.",0,
"JONAS BROTHERS - Live to party.                It`s rocking so hard     I love the song,",1,
happy mother`s day to all the mothers in the world.,1,
"35mins through the 1hr 20mins Google Wave demo, that looks a lot of fun, would love to test it though.  http://bit.ly/WnMSc",1,
Sleepy Tabz is heading to bed.  Fun night! Listened through the next episode of Joss`d!,1,
The exception for a short dude: Larenz fineass Tate yum,0,
"Screw the reviews, I thought Wolverine was awesome. But not enough Dominic Monaghan for my liking.",1,
"If you followed us recently, PLEASE dont be offended that we haven`t followed back. We hit our limit.   Hopefully we will be free soon.",1,
 Yes i work 6 to 3...,0,
" Hmmm, maybe that`s what they meant. They eluded to something brand new but you know how the media is",0,
Done at the spa   now meeting vic for some late lunch!,0,
Happy monday  up and about going to tavares today. Hope everyone has a blessed day!,1,
 Always have wanted to go to Oz,0,
 Thx,0,
 http://twitpic.com/4jaz5 - Cool... luv it,1,
  that`s why I need to be there...To represent the Blackberries,1,
Okay so I`m dedicating my 300th tweet to the fact that I`m going to the Apple store because there is a HUGE crack on the glass screen!,0,
 If only we could ever actually be allowed to stay here and do that,0,
 Let me know how that turns out!!,0,
 was that sass I detect?  As long as it isn`t back sass! Haha,0,
" yeah I was thinking about that ,ahaha",1,
 Sports Bar Shatranjanpoli Rest Ph 26498457 All Sports Bar Andheri W 26733333 Dont know whether that helps. Google ki jai ho,0,
I`m not sleeping at all until  accepts my appology,0,
"Wolverine Was BOSS! Seriously, And Will.I.Am Was In It, What The **** ??",0,
" I live for pain, bring it on",0,
"okay, i`m out for a while  back later!",0,
  #powerblog What is this powerblog challenge you keep talking about?  I`m a newbie follower,0,
almost died. Laptop screen was set to 100% brightness after I reinstalled Windows Vista. Got a headache now  #insanedefaults,1,
Waiting for tish to get off. Got to drive my moms CRV to pick her up all my myself and duckie. First time,0,
"Trying to decide on a movie with the friends.. not going to well! lol :p  No bible study 2nite, which means ****-day cake  buy my own??",0,
going to shower because i don`t want to smell at school tomorrow,0,
 Sigh... you know I am...,0,
"discovered cause of a bug in the new #NetPLAYER 4 build. Publishing bug fix now, hopefully new beta by tomorrow",1,
Here are 4 FREE twitter tools will get you followers  http://short.to/511q http://jijr.com/hulz http://short.to/511r http://2ve.org/xPG0/,0,
just got home from work.... and is chugging down a big bottle of apple juice.,0,
 Yes it does. Please dont` go. If you die I will cry.. which normally leads to small animals getting harmed,0,
writing report cards  soooo tired but what an amazing day. check it out on fb soon!,1,
 it was only once for my big brother...and I`m done now,0,
good news: finally finished my #EASactive workout that has been paused for 6 hours. bad news: my resistance band is torn,0,
"Well good morning all, What a wonderful day in the neighborhood  Thanks for all those that are now following another 60 this morning",1,
FTSK and Mercy Mercedes were amazing tonight.. as always,1,
  hope he is ok!,1,
can`t school just be done already? it hurts too much... seeing him every day,1,
"I waited, listening to wind blowing through the tumbleweed? Are none of you old enough to know what to do when someone says 'Crackerack'?",0,
 Hell Yeah!,0,
 HIM shirt at dinner? Do you need to ask??  Does it actually have Ville on it?,0,
 i know!!,0,
 huh what the ****? Smelly? Noooo. I love alex Vixon,0,
"Went to a party last night. Dindin and I showed up in matching outfits ) GREAT MINDS THINK ALIKE ) Anyway, happy birthday, ate lara",1,
" Happy b-day! Just woke up on this side of Earth, so wishes are bit late",1,
"thank you for teaching me values and to be a better person each day  I LOVE SO MUCH, YOU`RE THE BEST MUM IN THE WORLD",1,
HAPPY MOTHERS DAY.!,1,
" *laughs* I`m glad that you have self confidence - it`s a wonderful trait to have  I`ll applaud extra loud for it, okay?",1,
  Thanks,1,
twittering after 2 days!,0,
Getting ready for week  Its too nice today to be stuck inside working!,1,
I am tres depressed,0,
"Felt like ****, behaved like my son; ate to compensate. Pigged out on home-roasted sugar almonds. Painful tum, threw up, still feel sick.",0,
Happy Mothers Day people. i love my mom a lot still,1,
 I`m sorry to hear that.,0,
" That`s awesome dude, yay for surprise celebrities!  I got to meet him a few years ago, he was soooo friendly.",1,
" it makes me happy to hear a girl talk, or tweet, about the nba. but... could you give my nuggets some love?!",1,
Is getting the hang of Twitter.,0,
You know your neck is jacked up when you are forced to pay for parking bc you can`t turn you head to parallel park in the free spaces...,0,
I want it BACK NOW!: http://bit.ly/PP1WZ,0,
Going to miss my roomie ... We will no longer be roomies starting tomorrow,0,
"bathing with two little angels, Keyla and Janice.",0,
" Yep, finished, chocked full of spelling and grammatical errors, but I`m cleaning it up tomorrow and popping it up  hehe",0,
 HAHAHHA lol true that! i always remember my BD but i can never remember what date or even day it is,0,
"Family is here,hanging with them",0,
Watching Ellen Love her!! then doing the dishes  and tanning ...it`s gorgeous out!,1,
 what`s goin on hun?  I`m worried about you,0,
 Im not bannished... but I am at work till 6,0,
" Morning! If I get to see it, I`ll let you know. Right now, I`m going to go see Wolverine.",0,
" red top tabloids, build em up, knock em down",0,
tonight in party w/ my girls (minus vita),1,
  why not now you made me sad I thought you`d be jumping for joy,0,
 Simple my a#@,0,
"The pics I just uploaded are the baby pics of my cats. Missy is now an adult and a pretty little kitty, but Batty is in kitten heaven now",0,
" I saw the play of it here, it was amazing",1,
 _ i am glad to break my twitter virginity with you two.,1,
Dinner with the fam... I have missed them,0,
"_Live That`s what I want. More the better. Bound to be a few bad eggs though, but they will soon learn.",0,
Hell yeah Kellynn got a Twitter. Finally.,0,
" I know   It was worth a shot, though!",1,
"Just opened a facebook account, I`m a little confused I don`t really get it. Twitter seems much better",1,
Ship. I`m stuck.,0,
DUSTBIN BABY ON AT 11.30 Cannot wait  x,1,
" Not going to dwell on it. It happened, it`s passed. Just a shame as he was so supportive! Such is life!  x",0,
,0,
It looks like the office TV DOES get MLB Network... and it looks like MLBN will NOT be televising the DET/BAL game today  #wieters,0,
Home empty handed.  No comics found today.  I shall now indulge in my cupcakes from Magnolia Bakery.,0,
Laying in bed til workkk... Oh the life. Definitely pinched a nerve.,0,
today is a busy day. exhausting!,0,
" I was going to go on Sunday, but now I`ve got too much going on that weekend",0,
 Sorry to hear ur flight got cancelled  that blows!!!,0,
ohh my tooth is hurts ohh  im sad it very hurts,0,
"Before I get too distracted, I`d like to thank my new followers for taking the trouble to follow me! And to my others: feelin the love",1,
 u think u have bills Ha!Ii just finished paying mine that`s y I`m broke,0,
 Not sure it didn`t say it was 2 big. I jst saw the pics of u on ur last bday. You looked so pretty!! I miss you!!,0,
sore throat. Planning the TET outing to Marwell though...good times,0,
mcfly gig last nightt omg it was amazin didnt sit down through the whole thing  mcfly did you see me and ma best mate we were in tutus,1,
2 days without sleep and now a migraine. I thought life postR01 was meant to be relaxing,0,
 There!,0,
?sucks!?..,0,
 whens the sway sway winner announced?,0,
 K will check it out...,0,
" doing pretty well, up and wide awake",1,
"i want to wake up early, and get a coffee tomorrow (today) !  it`s going to be a busyy day! but have to keep writing.. booo whoo!",0,
I Miss Daddy and Mommy,0,
"My dog is officially depressed that my brother`s dogs are gone. He doesn`t want to go outside and when we did, he play half-heartedly.",0,
I just realized that I can`t forward text msgs with my iPhone.,0,
"My frist post... Off to find a new car for my parents, exciting!",1,
Argh noo! Missed The Killers on Wossy!  That sucks! Missed out on Brandon. Total failure! Anyone know if it`s repeated? Must investigate!,0,
seriously bored without anyone to talk to... but not tired enough for sleep,0,
 I am lost. Please help me find a good home.,0,
"It`s a Peter & Gordon morning  -> And I, go to pieces and I wanna hide / Go to pieces and I almost die / Ever... ? http://blip.fm/~5yk38",0,
Ok so I`ve now got a bit of a bad back after lifting all drum hardware into my car   downer.,0,
 LMAO... Smh!  that one threw me off.,0,
 oh nice going!,1,
Is getting ready for work... Working all weekend,0,
Gonna celebrate Mothers Day with the family but gonna start the partying tonite,1,
 i agree with you!,1,
 I only do computers. Am hopeless at everything else,0,
"90 degrees, gross skies, and thunderstorms...perfect match for my mood  lol",1,
_2nd aww thanks!,1,
 Sorry RB is on PS3 for me,0,
I saw amazing heeels. But they were too big,0,
I just stuck my finger down my throat and there are a bunch of bumps on my tongue & throat.,0,
dang last url went down  ? http://blip.fm/~7aigm,0,
" ohoh i missed all ur tweets  im gonna have to stay awake all night to see the announcement now, **** time difference",0,
 Damnit all. That sucks.  You were one of the ones I thought I`d drag back lol,0,
 my boss. She`s moving to NYC,0,
this is sooo crazy i have fever..,0,
is spending her Saturday morning taking notes for a research essay because some stupid **** recalled the book I`m using. Not fair,0,
I think i need some new friends,0,
 Looking forward to your gig in Ireland!!!  See ya there!,0,
Please Review Sunehre Ad Placement  http://tinyurl.com/oow6mk,1,
aww  you loooove me,1,
"is hungry, twitter.  i want food. </3",0,
awesome lucky you,1,
" yea, i should know.. but tell me EVERYTHING!  ps: send me direct messages telling..   haha",0,
" haha im jewish, i love that one",1,
"had a great time out in the beer garden wit the boyos !! I think the sun got to me a bit though, feel a bit ill !!",0,
 l`m on 3 days too matt. No fun this weekend.,0,
 u really don`t think so?  maybe ur right....lol. btw what phone u using? think u told me b4...i might have an app for u,0,
 I feel your pain. Mine is the same way,0,
comes home in two days,0,
 Sadly no. It didn`t come with one...,0,
Cant wait to see my boy tomorrow,1,
 ehhh no. just a check up. I have a dentist app next week though. getting my molar pulled/root canal.,0,
 aww I miss driving down elmwood,0,
Omg Wango Tango was **** AWSOME! I love my baby for taking me,1,
"Version 2 of our live, interactive Trans-Siberian ticket planner is launched: http://tinyurl.com/c5ljwm - its very cool",1,
_30439 I really wish I could go!,1,
" yeah real hard, but I know you`ll get by with it... smile",0,
 I`m 25 in december that`s not good at all next big birthday is 30  after 21 it flys by for sure,0,
  This has made my night!!  Way too funny!!,1,
Woo CAVS.  Happy Mother`s Day!,1,
 I make that same face when I get home and your mom is watching soaps.,0,
I have to go to work now.,0,
 I can`t believe you went and got boba without me.,0,
"  And to you too, how are you today?",0,
 Thanks for the warm welcome! We didn`t make plans   because our arrival time was so up in the air.,1,
19 days and counting,0,
 sorry  friends - I`m swamped with deadlines right now and we have family visiting to boot! No charades for me.,0,
BRAINFREEZE,0,
Just discovered a shortcoming of Gravity. When you use Twitpic (integrated) it doesn`t subtract the pic URL from the 140 character limit,0,
"My sunburn is peeling,",0,
perky purple nail polish isn`t as perky when its chipped,0,
"http://twitpic.com/4sx96 - before they put a CAMERA in the smokers pit.  i can no longer vandalize that door, without being caught.",0,
Laying ALONE!! Since Mook`s soo comfy in his f`n play pen. I thought it was ill at first now I don`t have no one to cuddle with...,0,
I hate the dentist,0,
" nothing aimed at you, just joining in...sorry",0,
I`m taking a twitter break. Cell is dying,0,
 qood morninq,0,
writing my english original writing storyyyyy. and listening to `a little respect` by erasure  aaaaaah.,0,
needs more followers,0,
I wish I could get my nails done  stupid job,0,
The little wormy from labyrinth sadly passed away today but its ok as hes still around in a happy ghost form aww  http://twitpic.com/67aim,0,
 the 'no pants' idea could be the new attempt world-wide to attract business back to the airlines.,0,
 Have a good one,1,
" yep infact she is popular, miss india 99, talented film actress .... and lot more",1,
Dosen`t Want To Go To Work Tomorrow,0,
Daniel has won DSDS. His voice is great.,1,
[-O] i wish the birthday massacre would come to australia  i think they said they`re thinking about it tho.. http://tinyurl.com/p6lfch,0,
was hoping to go to Red Lobster this weekend,0,
_x_ATL u mean jack barakat`s?! wow so have u ever gone to his house? Hehe i mean ur ssoo lucky to have the address!,1,
I sure do hope it becomes 4:20 this afternoon ...,1,
 it means that you are now FAMOUS. Congrats!,1,
My phone passed away yesterday.. He jumped off the table  Searching for a new phone...,0,
"I have such fantastic friends, including several ones met through here! thanks for being in my life - you are such amazing people!",1,
tamlyn wishes she was as cool as my sock draw,1,
 so no rice or crusty bread with the chili .... aawww,0,
"  We are of like minds this evening , my dear!",0,
come and save me from my packing please?!,0,
"Yes, I love tea. If that makes me typically English then so be it",1,
 a mouth for sure,1,
_dec0de I finally just have 1 hour of history... at 3.00 pm! but I went to my highschool at 8.00 am to make some homework with a friend,0,
 pancakes!! with lemon and sugar thanks!,1,
" Si, no bueno  I guess I just don`t entertain him :/",0,
I`m so hunrgy right now and these heels kill me I can hardly walk in them,0,
both electronic keys stopped working. there is no keyhole! cant get in my car. so much for technology,0,
" Yay, three followers! Good to know more than one person in this big wide world likes fishies.",1,
'my name is Tony!!!!!! ...not hey!!!!' -  poor tony,0,
Goodmorning,1,
Took a shift tomorrow.    I don`t really feel like working right now.,0,
" I love mine, too . happy motherï¿½s day to your mom , John Taylor  . much love to you, too .",1,
Saw a black snake in the garden.  Went back for a picture and it was gone,0,
http://twitpic.com/4wukt - We bought Ludi her own rug. Dogs are the best,1,
No waterfront anymore   faccia luna and clarendon will have to do,0,
loves her mum very much! Happy Mothers Day to all the wonderful mothers out there,1,
Slipped up and caught the flu  feeling like poop!,0,
"i have an urge to play wow but i have to wait 2 weeks til im at my dads! 5+47DAYS TIL MCFLY, im so excited  (L)",1,
Ok ... the passengers ... no one is alive ... they`re all dead ... you just don`t know it til the end ... then you cry ...,0,
Discovered  and  are sharing on G reader with me and didn`t even know it. Sigh.... I`m such a G reader newb.,0,
"is chilled out tonite, so cannot spew venom or write funny. Seems like these are the only 2 styles she has",0,
" If u do, please pray 4 me.  Lord knows I need it.",0,
aaaaaw i want to live in the USA,0,
Morning tweeple,1,
" Hey, I didn`t get any !!!",0,
 Now you only have 2 hours to sleep...  - Rest if you need it.,1,
"  That makes my day so much better, it`s been a rough one. Did I mention I love the new photo!",0,
I don`t want to sit at home on prom night. Someone hang out with me,0,
Is heading home from foot surgery and wishing she had a boyfriend to come over and cuddle with,1,
concert tonight  chackin out and not coming tomorrow!,0,
 what happened? I thought you were coming back today....,0,
 lol dammit  well then next time then,0,
 lol. just don`t ever forget me,1,
 Still jealous,0,
http://twitpic.com/67qv3 - Me at Forever 21  Ethan couldn`t be there,0,
NOW IM SAD BUT IM NOT GIVING IN FIRST..I DIDNT DO NOTHING!!!!    :**-(,0,
this week of mine was not easy!  but finally it`s over! (:,0,
   Wow what a beautiful picture... and by the way....I am straight....just wanted to let you know!!!     Bella,1,
In Arch. Drawing. Checking out MVCC`s CAD degree. Looks good to me,1,
" 'there are people and then there are pencils' some are sharp, some are not and some can be sharpened  my pencil philosophy.....",0,
"just about to go home. I`m usually `mr. 1` but this has been one of those daze. well, 15 mins until tomorrow!",0,
 but you always have lee. Let`s go to Paris,0,
 you know you want to come keep me company whilst mum`s at her friends for the night  it`s such a nice evening!,1,
cooking with my dad  having lots of fun in the kitchen together,1,
Bouncing Rush makes me feel nauseous,0,
Off to Woolsery this morning to (hopefully) see North Molton U16 clinch the North Devon League title. Lovely day for it,1,
